Number,Name,Gauge,Type,Color,Stripe,Start Conn,StartCav,EndConn,EndCav,Length(mm),Notes,
2,UNFUSED BATTERY POWER,10 AWG,GPL,Red,,P10,1,P12,1,,,
30a,FUSED B+ GLOW PLUG RELAY,10 AWG,GPL,Red,,P12,2,P18,1,,,
30b,FUSED B+ STARTER RELAY,12 AWG,GPL,Red,,P12,2,P15,1,,,
30c,FUSED B+ ALTERNATOR B,10 AWG,GPL,Red,,P12,2,P13,1,,,
30d,FUSED B+ KEYSWITCH,12 AWG,GPL,Red,,P12,2,P3,B,,,
31,BATTERY GROUND,12 AWG,GPL,Black,,P11,1,N4,,,,
31a,"BGND, ECU",12 AWG,GPL,Black,,N4,W31,N1,,,,
31b,"BGND, STARTER RELAY",16 AWG,GPL,Black,Red,N4,W31,P16,1,,,
31c,"BGND, KEYSWITCH",14 AWG,GPL,Black,,N4,W31,P3,E,,,
5422,START SIGNAL KEYSWITCH,14 AWG,GPL,Red,,P3,D,P17,1,,,
5012,SWITCHED POWER,12 AWG,GPL,Red,,P3,G,P21,"1,3,5",,"*jumper to unfused side of fuse block, all 3 fuses",
8,REVERSE PROT CLUSTER PWR,16 AWG,GPL,Blue,,P21,8,P14,31,,,
18,ALT SWITCHED POWER,16 AWG,GPL,Red,,P21,6,P14,30,,,
16,GLOW RELAY  SW PWR,16 AWG,GPL,Red,Black,P21,2,P19,1,,,
5905,CAN Low,16 AWG,CAN S/UTP,Green,,P1,F3,P3,U,,,
5904,CAN High,16 AWG,CAN S/UTP,Yellow,,P1,F2,P3,V,,,
101,ECU POWER 1,16 AWG,GPL,Red,Black,P21,2,P1,A1,,,
111,ECU POWER 2,16 AWG,GPL,Red,Blue,P21,2,P1,B1,,,
121,ECU GND 1,16 AWG,GPL,Black,,P1,C1,N1,W31a,,,
112,ECU GND 2,16 AWG,GPL,Black,,P1,B2,N1,W31a,,,
113,ECU GND 3,16 AWG,GPL,Black,,P1,B3,N1,W31a,,,
102,Actuator Power,16 AWG,GPL - TWIST,Red,White,P1,A2,P7,121,,,
103,Actuator PWM,16 AWG,GPL - TWIST,Black,White,P1,A3,P7,122,,,
132,Glow Enable,16 AWG,GPL,Purple,Blue,P1,D2,P20,1,,,
201,MPU+,16 AWG,S/UTP,Yellow,,P2,A1,P5,2,,*vert,
202,MPU-,16 AWG,S/UTP,Yellow,Black,P2,A2,P5,1,,*horiz,
203,MPU SHLD,16 AWG,S/UTP,Black,Yellow,P2,A3,Shield,,,,
211,5V SENSOR,16 AWG,GPL - TWIST,Red,White,P2,B1,P6,101,,,
212,ACTUATOR PWM SENSE,16 AWG,GPL - TWIST,Yellow,White,P2,B2,P6,102,,,
213,DGND,16 AWG,GPL - TWIST,Black,White,P2,B3,P6,103,,,
221,TPD,18 AWG,GPL,Blue,Yellow,P2,C1,P22,,,Recommendations for connector?,
222,RPD,18 AWG,GPL,Blue,Green,P2,C2,P22,,,,
223,DGND,18 AWG,GPL,Black,Blue,P2,C3,P22,,,,
271,5V SENSOR 2,16 AWG,GPL - TWIST,Red,Purple,P2,H1,P4,271,,,
272,MAP SENSE,16 AWG,GPL - TWIST,Yellow,Purple,P2,H2,P4,272,,,
273,DGND,16 AWG,GPL - TWIST,Black,Purple,P2,H3,P4,273,,,
291,COOLANT TEMP,16 AWG,GPL,White,Red,P2,K1,P9,3,,,
292,DGND,16 AWG,GPL,Black,Red,P2,K2,P9,1,,,
242,OIL PRESSURE,16 AWG,GPL,Blue,Black,P2,E2,P8,1,,,
,,,,,,,,,,,,
